,,,,0,0
88, BBB_112, receiver,6001,0.088,68193.18182
192, BBB_112, receiver,6126,0.192,58903.84615
292, BBB_112, receiver,6251,0.292,62510
396, BBB_112, receiver,6375,0.396,61298.07692
496, BBB_112, receiver,6497,0.496,64970
596, BBB_112, receiver,6616,0.596,66160
700, BBB_112, receiver,6732,0.7,64730.76923
800, BBB_112, receiver,6845,0.8,68450
900, BBB_112, receiver,6954,0.9,69540
1000, BBB_112, receiver,7058,1,70580
1108, BBB_112, receiver,7157,1.108,66268.51852
1212, BBB_112, receiver,7250,1.212,69711.53846
1316, BBB_112, receiver,7337,1.316,70548.07692
1420, BBB_112, receiver,7418,1.42,71326.92308
1528, BBB_112, receiver,7492,1.528,69370.37037
1636, BBB_112, receiver,7558,1.636,69981.48148
1748, BBB_112, receiver,7617,1.748,68008.92857
1856, BBB_112, receiver,7668,1.856,71000
1968, BBB_112, receiver,7711,1.968,68848.21429
2080, BBB_112, receiver,7746,2.08,69160.71429
2192, BBB_112, receiver,7772,2.192,69392.85714
2300, BBB_112, receiver,7790,2.3,72129.62963
2416, BBB_112, receiver,7798,2.416,67224.13793
2528, BBB_112, receiver,7790,2.528,69553.57143
2640, BBB_112, receiver,7772,2.64,69392.85714
2748, BBB_112, receiver,7746,2.748,71722.22222
2860, BBB_112, receiver,7712,2.86,68857.14286
2972, BBB_112, receiver,7669,2.972,68473.21429
3080, BBB_112, receiver,7618,3.08,70537.03704
3188, BBB_112, receiver,7559,3.188,69990.74074
3296, BBB_112, receiver,7492,3.296,69370.37037
3400, BBB_112, receiver,7418,3.4,71326.92308
3508, BBB_112, receiver,7338,3.508,67944.44444
3612, BBB_112, receiver,7251,3.612,69721.15385
3712, BBB_112, receiver,7157,3.712,71570
3816, BBB_112, receiver,7058,3.816,67865.38462
3916, BBB_112, receiver,6954,3.916,69540
4012, BBB_112, receiver,6846,4.012,71312.5
4108, BBB_112, receiver,6733,4.108,70135.41667
4200, BBB_112, receiver,6616,4.2,71913.04348
4296, BBB_112, receiver,6497,4.296,67677.08333
4388, BBB_112, receiver,6375,4.388,69293.47826
4480, BBB_112, receiver,6251,4.48,67945.65217
4568, BBB_112, receiver,6127,4.568,69625
4652, BBB_112, receiver,6001,4.652,71440.47619
4736, BBB_112, receiver,5876,4.736,69952.38095
4820, BBB_112, receiver,5751,4.82,68464.28571
4900, BBB_112, receiver,5627,4.9,70337.5
4980, BBB_112, receiver,5505,4.98,68812.5
5080, BBB_112, receiver,5386,5.08,53860
5180, BBB_112, receiver,5269,5.18,52690
5276, BBB_112, receiver,5156,5.276,53708.33333
5376, BBB_112, receiver,5047,5.376,50470
5472, BBB_112, receiver,4943,5.472,51489.58333
5572, BBB_112, receiver,4844,5.572,48440
5672, BBB_112, receiver,4751,5.672,47510
5768, BBB_112, receiver,4663,5.768,48572.91667
5868, BBB_112, receiver,4583,5.868,45830
5968, BBB_112, receiver,4509,5.968,45090
6068, BBB_112, receiver,4442,6.068,44420
6164, BBB_112, receiver,4383,6.164,45656.25
6264, BBB_112, receiver,4332,6.264,43320
6364, BBB_112, receiver,4288,6.364,42880
6464, BBB_112, receiver,4254,6.464,42540
6564, BBB_112, receiver,4227,6.564,42270
6664, BBB_112, receiver,4210,6.664,42100
6764, BBB_112, receiver,4201,6.764,42010
6864, BBB_112, receiver,4200,6.864,42000
6964, BBB_112, receiver,4209,6.964,42090
7064, BBB_112, receiver,4226,7.064,42260
7164, BBB_112, receiver,4252,7.164,42520
7264, BBB_112, receiver,4287,7.264,42870
7364, BBB_112, receiver,4329,7.364,43290
7464, BBB_112, receiver,4380,7.464,43800
7568, BBB_112, receiver,4439,7.568,42682.69231
7668, BBB_112, receiver,4505,7.668,45050
7768, BBB_112, receiver,4579,7.768,45790
7868, BBB_112, receiver,4659,7.868,46590
7972, BBB_112, receiver,4746,7.972,45634.61538
8072, BBB_112, receiver,4840,8.072,48400
8172, BBB_112, receiver,4938,8.172,49380
8276, BBB_112, receiver,5042,8.276,48480.76923
8376, BBB_112, receiver,5151,8.376,51510
8480, BBB_112, receiver,5264,8.48,50615.38462
8580, BBB_112, receiver,5380,8.58,53800
8680, BBB_112, receiver,5499,8.68,54990
8784, BBB_112, receiver,5621,8.784,54048.07692
8884, BBB_112, receiver,5745,8.884,57450
8988, BBB_112, receiver,5870,8.988,56442.30769
9088, BBB_112, receiver,6001,9.088,60010
9192, BBB_112, receiver,6126,9.192,58903.84615
9292, BBB_112, receiver,6251,9.292,62510
9396, BBB_112, receiver,6375,9.396,61298.07692
9496, BBB_112, receiver,6497,9.496,64970
9596, BBB_112, receiver,6616,9.596,66160
9700, BBB_112, receiver,6732,9.7,64730.76923
9800, BBB_112, receiver,6845,9.8,68450
9900, BBB_112, receiver,6954,9.9,69540
10000, BBB_112, receiver,7058,10,70580
10108, BBB_112, receiver,7157,10.108,66268.51852
10212, BBB_112, receiver,7250,10.212,69711.53846
10316, BBB_112, receiver,7337,10.316,70548.07692
10420, BBB_112, receiver,7418,10.42,71326.92308
10528, BBB_112, receiver,7492,10.528,69370.37037
10636, BBB_112, receiver,7558,10.636,69981.48148
10748, BBB_112, receiver,7617,10.748,68008.92857
10856, BBB_112, receiver,7668,10.856,71000
10968, BBB_112, receiver,7711,10.968,68848.21429
11080, BBB_112, receiver,7746,11.08,69160.71429
11192, BBB_112, receiver,7772,11.192,69392.85714
11300, BBB_112, receiver,7790,11.3,72129.62963
11416, BBB_112, receiver,7798,11.416,67224.13793
11528, BBB_112, receiver,7790,11.528,69553.57143
11640, BBB_112, receiver,7772,11.64,69392.85714
11748, BBB_112, receiver,7746,11.748,71722.22222
11860, BBB_112, receiver,7712,11.86,68857.14286
11972, BBB_112, receiver,7669,11.972,68473.21429
12080, BBB_112, receiver,7618,12.08,70537.03704
12188, BBB_112, receiver,7559,12.188,69990.74074
12296, BBB_112, receiver,7492,12.296,69370.37037
12400, BBB_112, receiver,7418,12.4,71326.92308
12508, BBB_112, receiver,7338,12.508,67944.44444
12612, BBB_112, receiver,7251,12.612,69721.15385
12712, BBB_112, receiver,7157,12.712,71570
12816, BBB_112, receiver,7058,12.816,67865.38462
12916, BBB_112, receiver,6954,12.916,69540
13012, BBB_112, receiver,6846,13.012,71312.5
13108, BBB_112, receiver,6733,13.108,70135.41667
13200, BBB_112, receiver,6616,13.2,71913.04348
13296, BBB_112, receiver,6497,13.296,67677.08333
13388, BBB_112, receiver,6375,13.388,69293.47826
13480, BBB_112, receiver,6251,13.48,67945.65217
13568, BBB_112, receiver,6127,13.568,69625
13652, BBB_112, receiver,6001,13.652,71440.47619
13736, BBB_112, receiver,5876,13.736,69952.38095
13820, BBB_112, receiver,5751,13.82,68464.28571
13900, BBB_112, receiver,5627,13.9,70337.5
13980, BBB_112, receiver,5505,13.98,68812.5
14080, BBB_112, receiver,5386,14.08,53860
14180, BBB_112, receiver,5269,14.18,52690
14276, BBB_112, receiver,5156,14.276,53708.33333
14376, BBB_112, receiver,5047,14.376,50470
14472, BBB_112, receiver,4943,14.472,51489.58333
14572, BBB_112, receiver,4844,14.572,48440
14672, BBB_112, receiver,4751,14.672,47510
14768, BBB_112, receiver,4663,14.768,48572.91667
14868, BBB_112, receiver,4583,14.868,45830
14968, BBB_112, receiver,4509,14.968,45090
15068, BBB_112, receiver,4442,15.068,44420
15164, BBB_112, receiver,4383,15.164,45656.25
15264, BBB_112, receiver,4332,15.264,43320
15364, BBB_112, receiver,4288,15.364,42880
15464, BBB_112, receiver,4254,15.464,42540
15564, BBB_112, receiver,4227,15.564,42270
15664, BBB_112, receiver,4210,15.664,42100
15764, BBB_112, receiver,4201,15.764,42010
15864, BBB_112, receiver,4200,15.864,42000
15964, BBB_112, receiver,4209,15.964,42090
16064, BBB_112, receiver,4226,16.064,42260
16164, BBB_112, receiver,4252,16.164,42520
16264, BBB_112, receiver,4287,16.264,42870
16364, BBB_112, receiver,4329,16.364,43290
16464, BBB_112, receiver,4380,16.464,43800
16568, BBB_112, receiver,4439,16.568,42682.69231
16668, BBB_112, receiver,4505,16.668,45050
16768, BBB_112, receiver,4579,16.768,45790
16868, BBB_112, receiver,4659,16.868,46590
16972, BBB_112, receiver,4746,16.972,45634.61538
17072, BBB_112, receiver,4840,17.072,48400
17172, BBB_112, receiver,4938,17.172,49380
17276, BBB_112, receiver,5042,17.276,48480.76923
17376, BBB_112, receiver,5151,17.376,51510
17480, BBB_112, receiver,5264,17.48,50615.38462
17580, BBB_112, receiver,5380,17.58,53800
17680, BBB_112, receiver,5499,17.68,54990
17784, BBB_112, receiver,5621,17.784,54048.07692
17884, BBB_112, receiver,5745,17.884,57450
17988, BBB_112, receiver,5870,17.988,56442.30769
18088, BBB_112, receiver,6001,18.088,60010
18192, BBB_112, receiver,6126,18.192,58903.84615
18292, BBB_112, receiver,6251,18.292,62510
18396, BBB_112, receiver,6375,18.396,61298.07692
18496, BBB_112, receiver,6497,18.496,64970
18596, BBB_112, receiver,6616,18.596,66160
18700, BBB_112, receiver,6732,18.7,64730.76923
18800, BBB_112, receiver,6845,18.8,68450
18900, BBB_112, receiver,6954,18.9,69540
19100, BBB_112, receiver,7157,19.1,35785
19208, BBB_112, receiver,7250,19.208,67129.62963
19316, BBB_112, receiver,7337,19.316,67935.18519
19420, BBB_112, receiver,7418,19.42,71326.92308
19528, BBB_112, receiver,7492,19.528,69370.37037
19636, BBB_112, receiver,7558,19.636,69981.48148
19744, BBB_112, receiver,7617,19.744,70527.77778
19856, BBB_112, receiver,7668,19.856,68464.28571
19968, BBB_112, receiver,7711,19.968,68848.21429
20076, BBB_112, receiver,7746,20.076,71722.22222
20188, BBB_112, receiver,7772,20.188,69392.85714
20300, BBB_112, receiver,7790,20.3,69553.57143
20412, BBB_112, receiver,7798,20.412,69625
20524, BBB_112, receiver,7798,20.524,69625
20636, BBB_112, receiver,7790,20.636,69553.57143
20748, BBB_112, receiver,7772,20.748,69392.85714
20860, BBB_112, receiver,7746,20.86,69160.71429
20972, BBB_112, receiver,7712,20.972,68857.14286
21080, BBB_112, receiver,7669,21.08,71009.25926
21192, BBB_112, receiver,7618,21.192,68017.85714
21300, BBB_112, receiver,7559,21.3,69990.74074
21408, BBB_112, receiver,7492,21.408,69370.37037
21512, BBB_112, receiver,7418,21.512,71326.92308
21616, BBB_112, receiver,7338,21.616,70557.69231
21720, BBB_112, receiver,7251,21.72,69721.15385
21824, BBB_112, receiver,7157,21.824,68817.30769
21924, BBB_112, receiver,7058,21.924,70580
22024, BBB_112, receiver,6954,22.024,69540
22124, BBB_112, receiver,6846,22.124,68460
22220, BBB_112, receiver,6733,22.22,70135.41667
22316, BBB_112, receiver,6616,22.316,68916.66667
22408, BBB_112, receiver,6497,22.408,70619.56522
22500, BBB_112, receiver,6375,22.5,69293.47826
22592, BBB_112, receiver,6251,22.592,67945.65217
22680, BBB_112, receiver,6127,22.68,69625
22764, BBB_112, receiver,6001,22.764,71440.47619
22848, BBB_112, receiver,5876,22.848,69952.38095
22932, BBB_112, receiver,5751,22.932,68464.28571
23012, BBB_112, receiver,5627,23.012,70337.5
23092, BBB_112, receiver,5505,23.092,68812.5
23168, BBB_112, receiver,5386,23.168,70868.42105
23244, BBB_112, receiver,5269,23.244,69328.94737
23320, BBB_112, receiver,5156,23.32,67842.10526
23392, BBB_112, receiver,5047,23.392,70097.22222
23472, BBB_112, receiver,4943,23.472,61787.5
23572, BBB_112, receiver,4844,23.572,48440
23672, BBB_112, receiver,4751,23.672,47510
23768, BBB_112, receiver,4663,23.768,48572.91667
23868, BBB_112, receiver,4583,23.868,45830
