id, time (s), size (bits),,0,0
103,1456077938,1456077938,5360,10.55633998,63229.94293
104,1456077939,1456077939,5248,10.63880992,63635.30746
105,1456077939,1456077939,5136,10.71983004,63391.66373
106,1456077939,1456077939,5032,10.79939008,63247.83031
107,1456077939,1456077939,4936,10.87853003,62370.52376
108,1456077939,1456077939,4840,10.95420003,63961.93671
109,1456077939,1456077939,4752,11.02940011,63191.4214
110,1456077939,1456077939,4672,11.10355997,62999.03966
111,1456077939,1456077939,4600,11.17772007,62027.96464
112,1456077939,1456077939,4536,11.24833989,64231.25831
113,1456077939,1456077939,4472,11.31948996,62853.07025
114,1456077939,1456077939,4424,11.38934994,63326.67004
115,1456077939,1456077939,4376,11.45874,63063.78887
116,1456077939,1456077939,4344,11.52741003,63259.0334
117,1456077940,1456077940,4320,11.59568,63278.18988
118,1456077940,1456077940,4304,11.67814994,52188.71252
119,1456077940,1456077940,4296,11.77852988,42797.39393
120,1456077940,1456077940,4296,11.87753987,43389.56069
121,1456077940,1456077940,4304,11.97750998,43052.87181
122,1456077940,1456077940,4320,12.07772994,43105.18369
123,1456077940,1456077940,4344,12.17783999,43392.24509
124,1456077940,1456077940,4384,12.27814007,43708.8413
125,1456077940,1456077940,4424,12.37817001,44226.75613
126,1456077940,1456077940,4472,12.47845006,44595.11296
127,1456077941,1456077941,4536,12.57914996,45044.73121
128,1456077941,1456077941,4600,12.67816997,46455.25956
129,1456077941,1456077941,4672,12.77835989,46631.4356
130,1456077941,1456077941,4752,12.87852001,47444.03171
131,1456077941,1456077941,4840,12.97780991,48746.14928
132,1456077941,1456077941,4936,13.07780004,49364.87257
133,1456077941,1456077941,5032,13.17810011,50169.4547
134,1456077941,1456077941,5136,13.27825999,51278.01492
135,1456077941,1456077941,5248,13.37842989,52390.98924
136,1456077941,1456077941,5360,13.47859001,53514.31186
137,1456077942,1456077942,5480,13.57778001,55247.50662
138,1456077942,1456077942,5600,13.67794991,55905.01901
139,1456077942,1456077942,5720,13.77798009,57182.74008
140,1456077942,1456077942,5840,13.87816,58295.12086
141,1456077942,1456077942,5968,13.97846007,59501.45184
142,1456077942,1456077942,6096,14.07768989,61433.15037
143,1456077942,1456077942,6216,14.17792988,62011.17805
144,1456077942,1456077942,6344,14.27810001,63332.24936
145,1456077942,1456077942,6464,14.37823009,64556.02476
146,1456077942,1456077942,6592,14.47835994,65834.51865
147,1456077943,1456077943,6712,14.57848001,67039.50727
148,1456077943,1456077943,6824,14.67978001,67364.2638
149,1456077943,1456077943,6936,14.78341007,66930.38298
150,1456077943,1456077943,7048,14.88870001,66938.97122
151,1456077943,1456077943,7152,14.99538994,67035.38003
152,1456077943,1456077943,7248,15.1038301,66838.70579
153,1456077943,1456077943,7344,15.21362996,66885.33002
154,1456077943,1456077943,7432,15.32511997,66660.68035
155,1456077943,1456077943,7512,15.43694997,67173.39052
156,1456077943,1456077943,7584,15.55040002,66848.80241
157,1456077944,1456077944,7648,15.66515994,66643.47505
158,1456077944,1456077944,7712,15.78066993,66764.78985
159,1456077944,1456077944,7760,15.89671993,66867.72657
160,1456077944,1456077944,7808,16.0139699,66592.77003
161,1456077944,1456077944,7840,16.13155007,66677.907
162,1456077944,1456077944,7864,16.24957991,66627.22306
163,1456077944,1456077944,7880,16.36808991,66492.27472
164,1456077944,1456077944,7888,16.48695993,66358.19533
165,1456077945,1456077945,7888,16.60573006,66414.00911
166,1456077945,1456077945,7880,16.72496009,66090.73125
167,1456077945,1456077945,7864,16.84363008,66267.80888
168,1456077945,1456077945,7840,16.96200991,66227.49765
169,1456077945,1456077945,7800,17.08001995,66096.06885
170,1456077945,1456077945,7760,17.19766998,65958.33308
171,1456077945,1456077945,7712,17.31469989,65897.6864
172,1456077945,1456077945,7648,17.43120003,65647.99021
173,1456077945,1456077945,7584,17.54680991,65599.92728
174,1456077946,1456077946,7512,17.66104007,65761.96923
175,1456077946,1456077946,7432,17.77480006,65330.52355
176,1456077946,1456077946,7344,17.88677001,65589.02762
177,1456077946,1456077946,7248,17.99786997,65238.54827
178,1456077946,1456077946,7152,18.10768008,65130.61271
179,1456077946,1456077946,7048,18.21584988,65156.82183
180,1456077946,1456077946,6936,18.32278991,64858.78049
181,1456077946,1456077946,6824,18.42816997,64756.08489
182,1456077946,1456077946,6704,18.53173995,64729.17841
183,1456077947,1456077947,6584,18.63408995,64328.28745
184,1456077947,1456077947,6464,18.73404002,64672.28754
185,1456077947,1456077947,6344,18.83239007,64504.28978
186,1456077947,1456077947,6216,18.9291501,64241.39913
187,1456077947,1456077947,6088,19.02436996,63936.24822
188,1456077947,1456077947,5968,19.11721992,64275.73438
189,1456077947,1456077947,5840,19.20893002,63678.92518
190,1456077947,1456077947,5712,19.29839993,63842.69327
191,1456077947,1456077947,5592,19.38614988,63726.5262
192,1456077947,1456077947,5472,19.47217989,63605.7142
193,1456077947,1456077947,5360,19.55653,63544.67181
194,1456077948,1456077948,5248,19.63964009,63145.15774
195,1456077948,1456077948,5136,19.72038007,63611.61248
196,1456077948,1456077948,5032,19.79992008,63263.75531
197,1456077948,1456077948,4936,19.87832999,62951.22628
198,1456077948,1456077948,4840,19.95476007,63325.85093
199,1456077948,1456077948,4752,20.02993989,63208.45537
200,1456077948,1456077948,4672,20.10432005,62812.44944
201,1456077948,1456077948,4600,20.17758989,62781.62673
202,1456077948,1456077948,4536,20.24887991,63627.42279
203,1456077948,1456077948,4472,20.31976008,63092.39534
204,1456077948,1456077948,4424,20.38983989,63128.03092
205,1456077948,1456077948,4376,20.4591701,63118.223
206,1456077948,1456077948,4344,20.52782989,63268.47898
207,1456077949,1456077949,4320,20.59611011,63268.68891
208,1456077949,1456077949,4304,20.67744994,52913.80221
209,1456077949,1456077949,4296,20.77757001,42908.48082
210,1456077949,1456077949,4296,20.87751007,42985.76499
211,1456077949,1456077949,4304,20.97756004,43018.50256
212,1456077949,1456077949,4320,21.07757998,43191.39118
213,1456077949,1456077949,4344,21.17783999,43327.34055
214,1456077949,1456077949,4384,21.27800989,43765.64345
215,1456077949,1456077949,4424,21.37826991,44125.26579
216,1456077949,1456077949,4472,21.47833991,44688.71803
217,1456077950,1456077950,4536,21.57863998,45224.29382
218,1456077950,1456077950,4600,21.67753005,46516.30016
219,1456077950,1456077950,4672,21.77740002,46780.83075
220,1456077950,1456077950,4752,21.87738991,47524.80426
221,1456077950,1456077950,4840,21.97766995,48264.83603
222,1456077950,1456077950,4936,22.07821989,49090.03607
223,1456077950,1456077950,5032,22.17833996,50259.65444
224,1456077950,1456077950,5136,22.27842999,51313.8038
225,1456077950,1456077950,5248,22.37735009,53052.91477
226,1456077950,1456077950,5360,22.47883987,52813.1983
227,1456077951,1456077951,5480,22.57790995,55314.38385
228,1456077951,1456077951,5600,22.67807007,55910.47508
229,1456077951,1456077951,5720,22.77830005,57068.7541
230,1456077951,1456077951,5840,22.87845993,58306.77708
231,1456077951,1456077951,5968,22.97763991,60173.43229
232,1456077951,1456077951,6096,23.07775998,60886.89457
233,1456077951,1456077951,6216,23.17805004,61980.22015
234,1456077951,1456077951,6344,23.27819991,63345.0648
235,1456077951,1456077951,6464,23.37839007,64517.31216
236,1456077951,1456077951,6592,23.47861004,65775.31734
237,1456077952,1456077952,6712,23.57846999,67214.13142
238,1456077952,1456077952,6824,23.68001008,67204.98367
239,1456077952,1456077952,6936,23.78377008,66846.5664
240,1456077952,1456077952,7048,23.88900995,66970.81746
241,1456077952,1456077952,7152,23.99569011,67041.52252
242,1456077952,1456077952,7248,24.10415006,66826.51093
243,1456077952,1456077952,7344,24.21379995,66976.80733
244,1456077952,1456077952,7432,24.32497001,66852.53598
245,1456077952,1456077952,7512,24.43728995,66880.37386
246,1456077952,1456077952,7584,24.55060005,66931.36879
247,1456077953,1456077953,7648,24.6652801,66689.88965
248,1456077953,1456077953,7712,24.78070998,66811.1248
249,1456077953,1456077953,7760,24.89697003,66746.9168
250,1456077953,1456077953,7808,25.01418996,66609.83621
251,1456077953,1456077953,7840,25.13240004,66322.60278
252,1456077953,1456077953,7864,25.25012994,66796.96363
253,1456077953,1456077953,7880,25.36833,66666.63074
254,1456077953,1456077953,7888,25.48728991,66308.05636
255,1456077954,1456077954,7888,25.60608006,66402.81219
256,1456077954,1456077954,7880,25.72488999,66324.41784
257,1456077954,1456077954,7864,25.84398007,66034.04736
258,1456077954,1456077954,7840,25.96219993,66317.11881
259,1456077954,1456077954,7800,26.08027005,66062.43503
260,1456077954,1456077954,7760,26.19789004,65975.17917
261,1456077954,1456077954,7712,26.31494999,65880.77527
262,1456077954,1456077954,7648,26.43115997,65811.90142
263,1456077954,1456077954,7584,26.54701996,65458.32003
264,1456077955,1456077955,7512,26.66132998,65716.0203
265,1456077955,1456077955,7432,26.77478004,65509.00574
266,1456077955,1456077955,7344,26.88695002,65472.06244
267,1456077955,1456077955,7248,26.9981699,65168.2038
268,1456077955,1456077955,7152,27.10799003,65124.67399
269,1456077955,1456077955,7048,27.21614003,65168.74389
